"etternavn"	"Personer 2021"
"Sletvold"	525
"Sleveland"	208
"Slinning"	350
"Slyngstad"	269
"Slåen"	339
"Slåtten"	273
"Smeby"	397
"Smedsrud"	645
"Smedstad"	204
"Smeland"	205
"Smestad"	622
"Smistad"	247
"Smith"	1891
"Smørdal"	272
"Sneve"	244
"Sogn"	289
"Sola"	414
"Solbakk"	433
"Solbakken"	2605
"Solberg"	9664
"Solbu"	211
"Soldal"	349
"Solem"	1904
"Soleng"	371
"Solevåg"	245
"Solgård"	200
"Solhaug"	1605
"Solheim"	6907
"Solli"	2822
"Sollid"	609
"Sollie"	1019
"Sollien"	523
"Solomon"	275
"Solstad"	1214
"Solstrand"	261
"Solsvik"	500
"Soltvedt"	555
"Soltveit"	243
"Solum"	934
"Solvang"	2582
"Solvik"	472
"Solvoll"	299
"Solås"	551
"Soma"	315
"Somby"	220
"Sommer"	535
"Sommerseth"	507
"Sommerstad"	372
"Sommervold"	236
"Sortland"	611
"Sparby"	277
"Sperre"	345
"Spilde"	212
"Sporsheim"	306
"Stabell"	475
"Stadheim"	314
"Staff"	262
"Stalsberg"	201
"Stamnes"	501
"Standal"	970
"Stang"	659
"Stange"	390
"Stangeland"	1520
"Starheim"	234
"Stav"	310
"Stava"	399
"Stave"	463
"Stavem"	.
"Staven"	234
"Stavenes"	215
"Stavik"	336
"Stavland"	272
"Stavnes"	256
"Stavrum"	321
"Steen"	3138
"Steffensen"	1422
"Stein"	426
"Steindal"	223
"Steine"	784
"Steinnes"	527
"Steinsland"	1155
"Steinsvik"	611
"Steiro"	378
"Stenberg"	1777
"Stendal"	315
"Stene"	2160
"Stenersen"	1348
"Stenerud"	293
"Stenhaug"	518
"Stensby"	548
"Stensen"	504
"Stenseth"	1032
"Stensland"	1161
"Stensrud"	1958
"Stenstad"	220
"Stensvold"	317
"Stenvik"	275
"Stephansen"	227
"Stiansen"	515
"Stien"	666
"Stigen"	383
"Stjern"	301
"Stokka"	800
"Stokkan"	255
"Stokke"	2469
"Stokkeland"	747
"Stokken"	229
"Stokkenes"	219
"Stokland"	261
"Stokstad"	257
"Storaker"	201
"Stordahl"	269
"Stordal"	393
"Storebø"	413
"Storeide"	236
"Storesund"	439
"Storhaug"	911
"Storheim"	267
"Storli"	802
"Storm"	393
"Stormark"	227
"Stormo"	753
"Stormoen"	260
"Stornes"	435
"Storsve"	220
"Storsveen"	637
"Storvik"	961
"Storøy"	398
"Storås"	304
"Strand"	9815
"Strandberg"	238
"Strande"	521
"Stranden"	529
"Strandheim"	267
"Straume"	890
"Stray"	373
"Strøm"	4345
"Strømberg"	322
"Strømland"	203
"Strømme"	1223
"Strømmen"	1206
"Strømnes"	350
"Strømsnes"	798
"Strømstad"	388
"Strømsvåg"	216
"Stubberud"	765
"Stuen"	.
"Sture"	343
"Styve"	274
"Støa"	319
"Støen"	427
"Stølan"	372
"Støle"	631
"Stølen"	917
"Størdal"	242
"Størkersen"	236
"Størksen"	232
"Størseth"	509
"Støylen"	350
"Stålesen"	271
"Suhr"	221
"Suleiman"	248
"Sulen"	207
"Sumstad"	.
"Sund"	1743
"Sundal"	948
"Sundberg"	470
"Sundby"	1267
"Sunde"	3654
"Sundet"	689
"Sundfær"	209
"Sundgot"	223
"Sundland"	204
"Sundli"	289
"Sundnes"	286
"Sundseth"	278
"Sundstrøm"	.
"Sundt"	758
"Surdal"	207
"Svanberg"	248
"Svanes"	284
"Svanevik"	215
"Svardal"	320
"Svarstad"	602
"Sveberg"	204
"Svee"	213
"Sveen"	2659
"Svela"	364
"Svellingen"	205
"Svendsen"	9540
"Svendsrud"	296
"Svenkerud"	244
"Svenning"	483
"Svenningsen"	418
"Svensen"	970
"Svensli"	316
"Svensson"	1068
"Sverdrup"	399
"Sveum"	630
"Sviggum"	218
"Svihus"	227
"Sviland"	238
"Svindland"	348
"Svingen"	348
"Sværen"	252
"Syed"	260
"Sylta"	245
"Sylte"	628
"Synnes"	315
"Synnevåg"	207
"Syrstad"	439
"Systad"	236
"Syversen"	2377
"Syvertsen"	1795
"Sæbø"	1176
"Sæland"	211
"Sæle"	819
"Sælen"	235
"Sæter"	1032
"Sæterbø"	277
"Sæterdal"	302
"Sætermo"	222
"Sæternes"	278
"Sæther"	5749
"Sæthre"	903
"Sætra"	218
"Sætran"	282
"Sætre"	3114
"Sætren"	259
"Sævareid"	330
"Sæverud"	234
"Sævik"	535
"Søberg"	786
"Søbstad"	269
"Sødal"	372
"Søderholm"	221
"Søfteland"	309
"Søgaard"	281
"Søgård"	270
"Søiland"	298
"Sølvberg"	381
"Sømme"	428
"Sønderland"	208
"Sønsteby"	388
"Sønstebø"	.
"Sønsterud"	246
"Sørby"	534
"Sørbø"	620
"Sørdal"	501
"Søreide"	681
"Søreng"	638
"Sørensen"	10382
"Sørgård"	629
"Sørhaug"	392
"Sørheim"	981
"Sørhus"	317
"Sørland"	274
"Sørli"	1468
"Sørlie"	2335
"Sørmo"	259
"Sørnes"	376
"Sørum"	1409
"Sørvik"	615
"Søvik"	1171
"Søyland"	784
"Tafjord"	457
"Tahir"	327
"Takle"	268
"Taksdal"	270
"Takvam"	247
"Talberg"	207
"Tallaksen"	365
"Tandberg"	1039
"Tande"	331
"Tandstad"	202
"Tang"	230
"Tangen"	4355
"Tangstad"	387
"Taraldsen"	517
"Taranger"	271
"Tariq"	221
"Taule"	453
"Taylor"	262
"Teien"	318
"Teig"	206
"Teige"	480
"Teigen"	2217
"Teigland"	706
"Tekle"	504
"Telle"	463
"Tellefsen"	839
"Tengesdal"	514
"Tennfjord"	201
"Tenold"	209
"Terjesen"	550
"Tesdal"	238
"Tesfamariam"	220
"Tesfamichael"	200
"Tesfay"	471
"Tessem"	232
"Tetlie"	285
"Tewelde"	378
"Tharaldsen"	526
"Theodorsen"	462
"Thingstad"	.
"Thoen"	251
"Thomas"	435
"Thomassen"	5610
"Thommesen"	302
"Thompson"	365
"Thomsen"	1096
"Thon"	563
"Thorbjørnsen"	1449
"Thoresen"	3468
"Thorgersen"	226
"Thorkildsen"	1100
"Thorsen"	4799
"Thorshaug"	228
"Thorsrud"	363
"Thorstensen"	1467
"Thorsø"	243
"Thorud"	270
"Thorvaldsen"	1524
"Thrane"	264
"Throndsen"	228
"Thu"	454
"Thue"	572
"Thuen"	232
"Thune"	617
"Thunes"	289
"Thygesen"	297
"Thøgersen"	371
"Tidemann"	299
"Tiller"	542
"Titlestad"	.
"Tjelle"	251
"Tjelta"	554
"Tjemsland"	331
"Tjessem"	281
"Tjore"	201
"Tjørhom"	211
"Tjøstheim"	379
"Tjøsvoll"	260
"Tjøtta"	201
"Tobiassen"	1205
"Todal"	251
"Todnem"	266
"Toft"	929
"Tofte"	559
"Tokerud"	232
"Tokle"	259
"Tollefsen"	2245
"Tolo"	209
"Tomren"	432
"Tomter"	353
"Tonheim"	309
"Tonning"	432
"Tonstad"	202
"Torbergsen"	326
"Torbjørnsen"	368
"Toresen"	223
"Torgersen"	3530
"Torheim"	334
"Torjussen"	420
"Torkelsen"	501
"Torkildsen"	706
"Torland"	277
"Tornes"	340
"Torp"	2189
"Torset"	326
"Torsteinsen"	204
"Torstensen"	407
"Torsvik"	1030
"Torvik"	636
"Torvund"	417
"Totland"	973
"Toverud"	.
"Tran"	3151
"Trana"	250
"Trengereid"	273
"Trinh"	217
"Trondsen"	954
"Trones"	425
"Tronrud"	252
"Tronstad"	835
"Trulsen"	278
"Truong"	455
"Trydal"	292
"Tryggestad"	.
"Træet"	245
"Trøan"	346
"Trøen"	460
"Trønnes"	291
"Tsegay"	295
"Tuft"	201
"Tufte"	546
"Tufteland"	205
"Tungland"	278
"Tunheim"	405
"Turøy"	450
"Tvedt"	1908
"Tvedten"	205
"Tveit"	4027
"Tveita"	359
"Tveitan"	358
"Tveite"	282
"Tveiten"	1172
"Tveito"	481
"Tvenge"	.
"Tverberg"	233
"Tverå"	200
"Tvete"	325
"Tveten"	447
"Tveter"	730
"Tyldum"	229
"Tysnes"	259
"Tysse"	450
"Tøllefsen"	315
"Tømmervik"	200
"Tømmerås"	416
"Tømte"	345
"Tøndel"	297
"Tønder"	313
"Tønnesen"	968
"Tønnessen"	2020
"Tønsberg"	239
"Tøsse"	225
"Ueland"	1074
"Ugelstad"	205
"Ugland"	444
"Ulland"	220
"Ulleberg"	270
"Ullestad"	211
"Ulriksen"	837
"Ulset"	238
"Ulseth"	385
"Ulstein"	546
"Ulven"	313
"Ulvestad"	663
"Ulvik"	243
"Ulvin"	212
"Ulvund"	277
"Underhaug"	229
"Undheim"	1001
"Undrum"	234
"Unhjem"	226
"Unneland"	.
"Urdal"	602
"Urke"	445
"Ursin"	230
"Urstad"	208
"Usman"	209
"Ustad"	318
"Utgård"	243
"Uthaug"	237
"Utheim"	340
"Uthus"	235
"Utne"	663
"Utnes"	.
"Utsi"	352
"Utvik"	286
"Vaa"	219
"Vaage"	539
"Vabø"	415
"Vadseth"	214
"Vagle"	427
"Vaksdal"	227
"Valberg"	287
"Valde"	228
"Valderhaug"	517
"Valen"	812
"Valla"	236
"Valland"	269
"Valle"	824
"Vallestad"	325
"Valseth"	275
"Valstad"	464
"Valvik"	302
"Valø"	244
"Vang"	673
"Vangen"	1353
"Vangsnes"	432
"Vanvik"	219
"Varhaug"	437
"Vartdal"	473
"Vassbotn"	370
"Vassdal"	249
"Vatland"	623
"Vatle"	281
"Vatn"	340
"Vatne"	1562
"Vea"	419
"Vedal"	336
"Vedvik"	828
"Vedøy"	306
"Vedå"	293
"Vegsund"	230
"Veiby"	230
"Veivåg"	218
"Veland"	577
"Velde"	379
"Velle"	327
"Venås"	441
"Vervik"	214
"Vestad"	444
"Vestby"	564
"Vestbø"	414
"Vestli"	653
"Vestly"	264
"Vestnes"	243
"Vestre"	583
"Vestrheim"	247
"Vestvik"	386
"Vestøl"	238
"Vetrhus"	239
"Veum"	352
"Vevang"	214
"Vevle"	254
"Viddal"	250
"Vie"	351
"Vigdal"	380
"Vigre"	402
"Vik"	5002
"Vika"	356
"Vikan"	806
"Vikane"	215
"Vikanes"	262
"Vike"	337
"Viken"	2223
"Vikene"	200
"Vikse"	500
"Vikøren"	288
"Vilhelmsen"	210
"Villanger"	287
"Vindenes"	568
"Vinje"	1175
"Visnes"	299
"Vist"	269
"Viste"	398
"Vistnes"	330
"Vo"	726
"Vogt"	316
"Vold"	1879
"Volden"	1320
"Voldsund"	327
"Voll"	957
"Vollan"	780
"Volle"	222
"Vollen"	314
"Vonheim"	264
"Vorland"	285
"Vu"	690
"Værnes"	396
"Våga"	244
"Våge"	1297
"Vågen"	988
"Vågenes"	415
"Vårdal"	412
"Waage"	1627
"Waaler"	485
"Wagner"	269
"Wahl"	911
"Wahlstrøm"	232
"Walberg"	229
"Walde"	227
"Walderhaug"	370
"Walle"	788
"Wallin"	389
"Walseth"	249
"Walstad"	326
"Wang"	2455
"Wangberg"	303
"Wangen"	874
"Wanvik"	201
"Warholm"	250
"Warsame"	458
"Wathne"	724
"Weber"	230
"Weberg"	217
"Weiseth"	288
"Welde"	294
"Welle"	222
"Wennberg"	312
"Wergeland"	662
"Werner"	595
"Wessel"	550
"Westad"	471
"Westberg"	252
"Westby"	1018
"Westbye"	467
"Westerheim"	248
"Westerlund"	248
"Westgaard"	615
"Westgård"	506
"Westlie"	285
"Westrum"	343
"Wetteland"	221
"Weum"	237
"Wibe"	250
"Wiborg"	307
"Wickstrøm"	233
"Wie"	225
"Wien"	340
"Wiggen"	458
"Wiig"	1278
"Wiik"	2447
"Wik"	925
"Wiken"	275
"Wiker"	206
"Wiklund"	265
"Wikstrøm"	215
"Wilberg"	431
"Wilhelmsen"	3189
"Willassen"	286
"Wille"	235
"Williams"	471
"Willumsen"	531
"Wilson"	539
"Winge"	441
"Winger"	210
"Winje"	299
"Winsnes"	377
"Winther"	1243
"Wisløff"	241
"Wisniewski"	227
"Wist"	223
"Wisth"	230
"With"	339
"Wojcik"	305
"Wold"	3329
"Wolden"	478
"Woldseth"	220
"Wolff"	254
"Woll"	350
"Wollan"	251
"Wong"	233
"Worren"	302
"Wozniak"	214
"Wright"	292
"Wroldsen"	288
"Wu"	256
"Wulff"	300
"Wærnes"	322
"Wøien"	210
"Xu"	244
"Yang"	293
"Yasin"	208
"Yemane"	209
"Yildirim"	263
"Yildiz"	312
"Yilmaz"	312
"Yndestad"	391
"Yohannes"	278
"Young"	212
"Yousef"	230
"Yri"	218
"Ytreland"	309
"Ytterstad"	242
"Yttervik"	267
"Yu"	.
"Yusuf"	880
"Zachariassen"	603
"Zahl"	386
"Zakariassen"	403
"Zhang"	591
"Zielinski"	233
"Zimmermann"	282
"Ødegaard"	2375
"Ødegård"	4308
"Ødegården"	314
"Øen"	773
"Øglænd"	314
"Øie"	571
"Øien"	2200
"Øiestad"	240
"Øiseth"	232
"Økland"	1440
"Øksendal"	224
"Øksnes"	485
"Ølberg"	220
"Ølmheim"	205
"Ørbeck"	212
"Øren"	728
"Ørmen"	208
"Østberg"	377
"Østby"	1934
"Østbye"	506
"Østbø"	494
"Østebø"	465
"Østensen"	940
"Østenstad"	209
"Østerbø"	319
"Østerhus"	512
"Østerud"	250
"Østervold"	208
"Østerås"	315
"Østgaard"	291
"Østgård"	608
"Østhus"	465
"Østli"	613
"Østlie"	380
"Østlund"	.
"Østmo"	308
"Østrem"	954
"Østreng"	214
"Østvik"	356
"Østvold"	494
"Øverby"	952
"Øverbø"	292
"Øvereng"	276
"Øvergaard"	299
"Øvergård"	560
"Øverland"	1555
"Øverli"	558
"Øverås"	622
"Øvland"	204
"Øvrebø"	1131
"Øvrelid"	264
"Øvretveit"	339
"Øvrevik"	200
"Øvstebø"	261
"Øvstedal"	252
"Øvsthus"	263
"Øwre"	292
"Øyan"	276
"Øye"	972
"Øyen"	1320
"Øygard"	462
"Øygarden"	796
"Øynes"	203
"Ådland"	330
"Åkre"	249
"Åmodt"	.
"Ånensen"	256
"Ånestad"	253
"Årdal"	434
"Årnes"	287
"Årseth"	266
"Årvik"	287
"Ås"	240
"Åsebø"	221
"Åsen"	621
"Åsheim"	944
"Åsland"	356
