"etternavn"	"Personer 2021"
"Brønstad"	317
"Bråten"	2821
"Bråthen"	3281
"Bu"	277
"Buan"	253
"Bue"	370
"Buene"	265
"Buer"	749
"Bugge"	1388
"Bugten"	236
"Bui"	480
"Buljo"	320
"Bull"	740
"Bunes"	410
"Buraas"	205
"Burud"	207
"Busch"	425
"Busk"	202
"Butt"	858
"Buvarp"	214
"Buvik"	330
"By"	470
"Byberg"	828
"Bye"	2418
"Byrkjeland"	303
"Bystrøm"	.
"Bækken"	310
"Bærheim"	235
"Bævre"	363
"Bø"	2466
"Bødtker"	.
"Bøe"	4202
"Bøen"	474
"Bøhler"	349
"Bøhmer"	200
"Bøhn"	663
"Børnes"	200
"Børresen"	1824
"Børseth"	326
"Børsheim"	230
"Børstad"	286
"Børve"	451
"Bøthun"	261
"Bøyum"	352
"Bårdsen"	934
"Båtnes"	200
"Cao"	202
"Cappelen"	262
"Carlsen"	2769
"Carlson"	255
"Carlsson"	465
"Caspersen"	449
"Celik"	205
"Celius"	259
"Chan"	245
"Chaudhry"	389
"Chen"	570
"Christensen"	6189
"Christiansen"	3708
"Christoffersen"	1339
"Christophersen"	441
"Clausen"	1180
"Claussen"	339
"Corneliussen"	790
"Daae"	386
"Dagestad"	309
"Dagsland"	305
"Dahir"	403
"Dahl"	11334
"Dahlberg"	696
"Dahle"	3269
"Dahlen"	1188
"Dahlgren"	228
"Dahlstrøm"	363
"Dalaker"	203
"Dalby"	378
"Dale"	3357
"Dalen"	2455
"Dalene"	337
"Daleng"	207
"Dalhaug"	288
"Dalheim"	478
"Dalland"	463
"Dalsbø"	216
"Dalseth"	214
"Dammen"	583
"Dang"	466
"Daniel"	210
"Danielsen"	5439
"Dar"	213
"David"	208
"Davidsen"	1841
"Dehli"	298
"Demir"	225
"Derås"	212
"Devik"	265
"Devold"	273
"Didriksen"	1067
"Diesen"	219
"Digernes"	365
"Digre"	262
"Dimmen"	395
"Dinh"	243
"Dirdal"	374
"Ditlefsen"	381
"Djupvik"	487
"Djuve"	213
"Djønne"	249
"Do"	374
"Doan"	264
"Dokken"	721
"Drabløs"	314
"Drage"	342
"Drageset"	217
"Dragland"	240
"Dramstad"	207
"Drange"	685
"Drevland"	220
"Dreyer"	548
"Drivenes"	288
"Drønen"	318
"Due"	303
"Duong"	334
"Dvergsdal"	301
"Dyb"	391
"Dybdahl"	486
"Dybdal"	286
"Dybvik"	950
"Dybwad"	233
"Dyngeland"	323
"Dyrdal"	330
"Dyrhaug"	267
"Dyrkorn"	221
"Dyrnes"	534
"Dyrseth"	277
"Dyrstad"	368
"Dyrøy"	270
"Dørum"	479
"Ebbesen"	342
"Eckhoff"	323
"Edland"	517
"Edvardsen"	4760
"Edvartsen"	216
"Eeg"	215
"Eek"	470
"Ege"	388
"Egeberg"	450
"Egeland"	2535
"Egeli"	319
"Egenes"	207
"Eggan"	238
"Egge"	794
"Eggen"	1843
"Eggum"	318
"Eid"	625
"Eide"	8440
"Eidem"	1073
"Eidet"	282
"Eidissen"	465
"Eidsheim"	200
"Eidsvik"	292
"Eidsvåg"	229
"Eie"	634
"Eik"	930
"Eike"	426
"Eikeland"	2257
"Eikemo"	441
"Eiken"	493
"Eikenes"	479
"Eikrem"	867
