"fornavn"	"Personer 2021"
"Markus"	8308
"Martin"	22077
"Martinius"	234
"Martinus"	388
"Martynas"	243
"Marvin"	316
"Matas"	243
"Mateo"	523
"Mateusz"	1275
"Matheo"	2876
"Matheus"	276
"Mathias"	12171
"Mathis"	249
"Matias"	1464
"Mats"	7241
"Matteo"	393
"Matthew"	464
"Matthias"	309
"Mattias"	507
"Mattis"	846
"Max"	2443
"Maximilian"	552
"Mehdi"	323
"Mehmet"	566
"Melvin"	435
"Michael"	5092
"Michal"	2140
"Miguel"	386
"Mika"	313
"Mikael"	3006
"Mikail"	236
"Mikal"	915
"Mike"	270
"Mikhail"	.
"Mikkel"	4227
"Mikolaj"	274
"Milan"	714
"Milian"	592
"Milos"	209
"Mindaugas"	649
"Minh"	285
"Mio"	686
"Miroslav"	210
"Miroslaw"	771
"Mohamad"	1584
"Mohamed"	3610
"Mohammad"	5298
"Mohammed"	3024
"Mons"	442
"Morgan"	672
"Morten"	21767
"Mostafa"	307
"Muhammad"	2406
"Muhammed"	436
"Mustafa"	1313
"Narve"	278
"Natan"	250
"Nataniel"	207
"Nathan"	339
"Nathaniel"	946
"Neo"	249
"Nerijus"	349
"Nicholas"	1380
"Nicklas"	864
"Niclas"	474
"Nicolai"	2974
"Nicolas"	907
"Nicolay"	863
"Niels"	648
"Niklas"	2259
"Nikola"	392
"Nikolai"	4350
"Nikolas"	564
"Nikolay"	353
"Nils"	12935
"Njål"	605
"Noa"	380
"Noah"	6431
"Noel"	420
"Norbert"	273
"Normann"	227
"Norvald"	491
"Odd"	18896
"Oddbjørn"	2384
"Oddgeir"	705
"Oddleif"	.
"Oddmund"	1161
"Oddvar"	4214
"Oddvin"	339
"Odin"	3512
"Ola"	9401
"Olaf"	1979
"Olai"	1022
"Olav"	14853
"Ole"	34202
"Ole-Christian"	.
"Ole-Jørgen"	.
"Ole-Kristian"	.
"Ole-Martin"	.
"Ole-Petter"	.
"Oliver"	8215
"Olivier"	259
"Olve"	551
"Omar"	1753
"Omer"	216
"Omid"	223
"Oscar"	4053
"Oskar"	5356
"Osman"	571
"Osvald"	240
"Ottar"	1501
"Otto"	1736
"Ove"	5724
"Paal"	971
"Patrick"	3158
"Patrik"	790
"Patryk"	679
"Paul"	4604
"Paulius"	305
"Pavel"	280
"Pawel"	2466
"Peder"	3907
"Pedro"	348
"Pelle"	283
"Per"	37623
"Per-Arne"	.
"Per-Erik"	.
"Peter"	4897
"Petter"	10290
"Philip"	3172
"Phillip"	923
"Pierre"	229
"Piotr"	3142
"Preben"	2154
"Przemyslaw"	788
"Pål"	9439
"Radoslaw"	568
"Rafael"	466
"Rafal"	1424
"Ragnar"	4086
"Ragnvald"	486
"Rainer"	222
"Ralf"	.
"Rami"	223
"Ramunas"	246
"Rasmus"	1686
"Ravn"	253
"Rayan"	337
"Raymond"	2943
"Reidar"	5282
"Remi"	1533
"Remy"	396
"Rene"	847
"Reza"	319
"Ricardo"	277
"Richard"	3152
"Rikard"	511
"Rino"	350
"Roald"	2745
"Roar"	6581
"Robel"	207
"Robert"	8346
"Robertas"	220
"Roberto"	248
"Robin"	5115
"Roger"	8651
"Roland"	248
"Rolandas"	260
"Rolf"	12029
"Rolv"	479
"Roman"	805
"Ronald"	984
"Ronnie"	343
"Ronny"	5661
"Roy"	7626
"Ruben"	3235
"Rudi"	532
"Rudolf"	295
"Runar"	3369
"Rune"	18735
"Ryan"	353
"Ryszard"	427
"Said"	740
"Salah"	236
"Saleh"	200
"Salman"	240
"Sam"	605
"Sami"	410
"Samir"	520
"Samson"	300
"Samuel"	3025
"Sander"	9864
"Saulius"	368
"Scott"	637
"Sean"	579
"Sebastian"	10027
"Selmer"	235
"Severin"	430
"Seyed"	217
"Sigbjørn"	1862
"Sigfred"	214
"Sigmund"	2779
"Sigurd"	7417
"Sigvald"	218
"Sigvart"	.
"Sigve"	1695
"Silas"	461
"Simen"	8705
"Simon"	5644
"Sindre"	7684
"Sivert"	2985
"Sjur"	1337
"Skjalg"	277
"Slawomir"	957
"Snorre"	1721
"Solomon"	230
"Sondre"	9493
"Stanislaw"	680
"Stefan"	2228
"Steffan"	200
"Steffen"	3806
"Stein"	10031
"Steinar"	10602
"Sten"	1688
"Stephan"	497
"Stephen"	587
"Steve"	381
"Steven"	609
"Stian"	15330
"Stig"	9748
"Storm"	1729
"Sture"	390
"Sturla"	677
"Ståle"	3635
"Svein"	24295
"Svein-Erik"	.
"Sveinung"	1657
"Sven"	4234
"Svend"	910
"Svenn"	1237
"Sverre"	8641
"Syed"	571
"Sylwester"	326
"Syver"	811
"Sølve"	562
"Szymon"	558
"Søren"	425
"Tadas"	296
"Tadeusz"	337
"Tage"	740
"Tarald"	322
"Tarjei"	1035
"Ted"	269
"Tellef"	239
"Teo"	389
"Teodor"	1453
"Terje"	20071
"Thanh"	333
"Theo"	2911
"Theodor"	4333
"Thomas"	24529
"Thor"	7924
"Thoralf"	.
"Thorbjørn"	1297
"Thore"	1181
"Thorleif"	630
"Thormod"	.
"Thorstein"	439
"Thorvald"	444
"Tim"	1492
"Timian"	216
"Timothy"	278
"Tobias"	9989
"Tom"	16166
"Tom-Erik"	.
"Tomas"	3124
"Tomasz"	2927
"Tommy"	9201
"Toni"	210
"Tonny"	303
"Tony"	1802
"Tor"	22739
"Tor-Arne"	.
"Tor-Erik"	.
"Toralf"	503
"Torben"	497
"Torbjørn"	6633
"Tord"	1672
"Tore"	15224
"Torfinn"	1017
"Torgeir"	3265
"Torger"	403
"Torgrim"	611
"Torje"	514
"Torjus"	1007
"Torkel"	609
"Torkil"	358
"Torkild"	291
"Torleif"	1076
"Torleiv"	371
"Tormod"	2824
"Torodd"	223
"Torstein"	3860
"Torvald"	316
"Tristan"	421
"Tron"	529
"Trond"	17182
"Troy"	337
"Truls"	3160
"Trygve"	4955
"Trym"	3561
"Tønnes"	200
"Ulf"	2234
"Ulrik"	3263
"Usman"	240
"Vaidas"	284
"Valentin"	290
"Van"	276
"Varg"	327
"Vebjørn"	1885
"Vegar"	1520
"Vegard"	8289
"Vemund"	1105
"Vetle"	3995
"Victor"	3035
"Vidar"	9062
"Viggo"	1329
"Viktor"	2771
"Vilhelm"	253
"Viljar"	1346
"Villy"	373
"Vincent"	709
"Vladimir"	512
"Vytautas"	361
"Waldemar"	592
"Walid"	262
"Walter"	596
"Werner"	648
"Widar"	.
"Wieslaw"	408
"Wiggo"	412
"Wiktor"	385
"Wilhelm"	1019
"William"	9202
"Willy"	2347
"Wilmer"	248
"Wojciech"	1216
"X"	.
"Yahya"	226
"Yasin"	371
"Yngvar"	781
"Yngve"	2251
"Yonas"	376
"Yosef"	238
"Yousef"	485
"Youssef"	284
"Yusuf"	637
"Zakaria"	363
"Zbigniew"	919
"Zdzislaw"	.
"Zoran"	201
"Øistein"	933
"Øivind"	3440
"Ørjan"	3607
"Ørnulf"	336
"Øystein"	10729
"Øyvind"	13765
"Ådne"	1078
"Åge"	3681
"Åsmund"	2065
