"fornavn"	"Personer 2021"
"Reidunn"	489
"Renata"	697
"Renate"	4123
"Renathe"	304
"Renee"	.
"Rigmor"	3157
"Rikke"	2960
"Rina"	268
"Rita"	6651
"Ronja"	2514
"Rosa"	414
"Rose"	677
"Runa"	1159
"Rut"	348
"Ruta"	290
"Ruth"	6465
"Rønnaug"	716
"Saba"	304
"Sabina"	348
"Sabine"	339
"Sabrina"	493
"Sadia"	288
"Safia"	241
"Saga"	1273
"Sahar"	254
"Sahra"	373
"Saima"	207
"Salma"	505
"Samantha"	313
"Samira"	640
"Sana"	362
"Sandra"	6235
"Sanja"	211
"Sanna"	1740
"Sanne"	896
"Sara"	11258
"Sarah"	4339
"Savannah"	237
"Selam"	219
"Selina"	496
"Seline"	271
"Selma"	4732
"Senait"	254
"Serina"	281
"Serine"	406
"Sharon"	208
"Sheila"	207
"Shirin"	216
"Sidra"	292
"Sidsel"	2169
"Sienna"	494
"Sigfrid"	326
"Signe"	5798
"Signy"	620
"Sigrid"	7217
"Sigrun"	2400
"Sigrunn"	740
"Siham"	238
"Silja"	600
"Silje"	15838
"Silvia"	561
"Simona"	501
"Simone"	523
"Sina"	651
"Sine"	222
"Siren"	1051
"Siri"	8460
"Siril"	366
"Sissel"	9868
"Siv"	7614
"Siw"	2328
"Snefrid"	376
"Sofia"	4096
"Sofie"	9354
"Sofija"	222
"Sol"	679
"Solbjørg"	1262
"Solfrid"	3535
"Solgunn"	282
"Solrun"	364
"Solveig"	14981
"Solvor"	482
"Solvår"	420
"Sonia"	518
"Sonja"	4499
"Sophia"	1322
"Sophie"	1322
"Stella"	1440
"Stephanie"	523
"Stina"	1506
"Stine"	11148
"Sumaya"	266
"Sunniva"	4589
"Susan"	696
"Susann"	793
"Susanna"	388
"Susanne"	4300
"Suzanne"	349
"Svanhild"	1951
"Svetlana"	722
"Sylvi"	1151
"Sylvia"	1102
"Sylwia"	671
"Synne"	4230
"Synnøve"	5795
"Synøve"	482
"Sølvi"	3510
"Tale"	633
"Tamara"	431
"Tanja"	1399
"Tanya"	313
"Tara"	580
"Tatiana"	695
"Tatjana"	420
"Tea"	477
"Teresa"	473
"Terese"	711
"Thale"	1071
"Thanh"	258
"Thea"	11556
"Thelma"	529
"Theresa"	309
"Therese"	6225
"Thi"	1273
"Thilde"	253
"Thora"	332
"Thordis"	.
"Thu"	221
"Thuy"	290
"Tia"	348
"Tilde"	1146
"Tilla"	231
"Tina"	5375
"Tine"	2254
"Tiril"	4573
"Tirill"	280
"Tomine"	1297
"Tone"	15036
"Tonje"	6844
"Tora"	1814
"Torbjørg"	894
"Tordis"	1516
"Torgunn"	534
"Torhild"	2507
"Toril"	4026
"Torild"	1792
"Torill"	6359
"Torun"	626
"Torunn"	4260
"Tove"	14110
"Trine"	10015
"Trine-Lise"	.
"Trude"	4979
"Turi"	398
"Turid"	10102
"Tuva"	5979
"Tyra"	449
"Ulla"	800
"Ulrikke"	710
"Una"	822
"Une"	221
"Unn"	1438
"Unni"	8804
"Urszula"	249
"Vaida"	217
"Valborg"	435
"Valentina"	625
"Valeria"	226
"Vanessa"	1145
"Vanja"	1001
"Venche"	289
"Venke"	781
"Vera"	2227
"Veronica"	3771
"Veronika"	1516
"Veslemøy"	612
"Vibecke"	421
"Vibeke"	4895
"Victoria"	6931
"Vida"	393
"Vigdis"	5820
"Viktoria"	1538
"Viktorija"	404
"Vilde"	8761
"Vilja"	1070
"Vilje"	518
"Vilma"	951
"Viola"	360
"Violeta"	254
"Vivi"	1170
"Vivian"	1696
"Vår"	280
"Vårin"	530
"Wanja"	227
"Wenche"	13614
"Wencke"	.
"Wendy"	262
"Wenke"	385
"Weronika"	345
"Wigdis"	260
"Wiktoria"	510
"Wilma"	668
"X"	.
"Yasmin"	709
"Ylva"	2046
"Yngvild"	279
